solar,wind,wind curt
0.1,0.1,0.0
0.1,0.3,5.0
0.1,0.4,6.6
0.1,0.5,12.6
0.1,0.6,18.8
0.1,0.7,23.7
0.1,0.9,33.3
0.3,0.1,3.2
0.3,0.3,9.3
0.3,0.4,13.7
0.3,0.5,20.5
0.3,0.6,26.3
0.3,0.7,31.8
0.3,0.9,40.9
0.4,0.1,4.6
0.4,0.3,11.4
0.4,0.4,17.2
0.4,0.5,24.0
0.4,0.6,29.7
0.4,0.7,35.1
0.4,0.9,44.0
0.5,0.1,5.5
0.5,0.3,12.9
0.5,0.4,18.9
0.5,0.5,25.5
0.5,0.6,31.2
0.5,0.7,36.4
0.6,0.1,5.9
0.6,0.3,13.6
0.6,0.4,19.6
0.6,0.5,26.2
0.6,0.6,31.8
0.6,0.7,37.0
0.7,0.1,6.0
0.7,0.3,13.9
0.7,0.4,20.0
0.7,0.5,26.4
0.7,0.6,32.1
0.9,0.1,6.4
0.9,0.3,14.6
0.9,0.4,20.6
