solar,wind,ES wind cap
0.1,0.1,25.0
0.1,0.3,44.6
0.1,0.4,49.9
0.1,0.5,62.7
0.1,0.6,64.0
0.1,0.7,66.8
0.1,0.9,77.8
0.3,0.1,7.4
0.3,0.3,30.7
0.3,0.4,32.6
0.3,0.5,44.0
0.3,0.6,56.8
0.3,0.7,68.2
0.3,0.9,92.5
0.4,0.1,5.3
0.4,0.3,30.3
0.4,0.4,32.1
0.4,0.5,43.1
0.4,0.6,54.6
0.4,0.7,67.1
0.4,0.9,95.1
0.5,0.1,6.0
0.5,0.3,27.9
0.5,0.4,31.0
0.5,0.5,41.9
0.5,0.6,53.9
0.5,0.7,68.1
0.6,0.1,4.9
0.6,0.3,29.7
0.6,0.4,32.3
0.6,0.5,43.1
0.6,0.6,55.4
0.6,0.7,68.9
0.7,0.1,4.4
0.7,0.3,28.4
0.7,0.4,33.8
0.7,0.5,43.3
0.7,0.6,55.3
0.9,0.1,5.0
0.9,0.3,27.0
0.9,0.4,30.9
