solar,wind,VRE share
0.1,0.1,20.0
0.1,0.3,38.5
0.1,0.4,47.4
0.1,0.5,53.7
0.1,0.6,58.7
0.1,0.7,63.4
0.1,0.9,70.0
0.3,0.1,36.2
0.3,0.3,54.4
0.3,0.4,61.6
0.3,0.5,66.8
0.3,0.6,71.3
0.3,0.7,74.8
0.3,0.9,80.3
0.4,0.1,39.6
0.4,0.3,57.2
0.4,0.4,63.9
0.4,0.5,69.0
0.4,0.6,73.3
0.4,0.7,76.6
0.4,0.9,81.8
0.5,0.1,41.4
0.5,0.3,58.4
0.5,0.4,64.9
0.5,0.5,69.9
0.5,0.6,74.1
0.5,0.7,77.4
0.6,0.1,42.3
0.6,0.3,59.0
0.6,0.4,65.4
0.6,0.5,70.3
0.6,0.6,74.4
0.6,0.7,77.7
0.7,0.1,42.8
0.7,0.3,59.3
0.7,0.4,65.7
0.7,0.5,70.6
0.7,0.6,74.6
0.9,0.1,43.3
0.9,0.3,59.7
0.9,0.4,66.1
