solar,wind,solar absolute curt
0.1,0.1,1170600.1
0.1,0.3,945103.3
0.1,0.4,1069282.0
0.1,0.5,1021452.2
0.1,0.6,1441325.1
0.1,0.7,1854347.7
0.3,0.1,102569903.5
0.3,0.3,136186843.1
0.3,0.4,157103750.7
0.3,0.5,178932050.9
0.3,0.6,198502498.7
0.3,0.7,217481146.9
0.3,0.9,243262755.1
0.4,0.1,311747905.1
0.4,0.3,363352829.3
0.4,0.4,397945683.8
0.4,0.5,431629006.3
0.4,0.6,465023439.5
0.4,0.7,491901784.4
0.4,0.9,523422514.6
0.5,0.1,583463702.3
0.5,0.3,651308693.1
0.5,0.4,693432060.7
0.5,0.5,733344031.7
0.5,0.6,771310627.8
0.5,0.7,796260380.5
0.6,0.1,885683675.8
0.6,0.3,962112864.3
0.6,0.4,1005263525.0
0.6,0.5,1046628790.5
0.6,0.6,1085465155.2
0.6,0.7,1111405337.8
0.7,0.1,1198436038.1
0.7,0.3,1276852480.2
0.7,0.4,1320602271.5
0.7,0.5,1363104354.4
0.7,0.6,1402539625.7
0.9,0.1,1834218325.9
0.9,0.3,1912905508.6
0.9,0.4,1956776070.7
