solar,wind,wind theo share
0.1,0.1,10.0
0.1,0.3,30.0
0.1,0.4,40.0
0.1,0.5,50.0
0.1,0.6,60.0
0.1,0.7,70.0
0.3,0.1,10.0
0.3,0.3,30.0
0.3,0.4,40.0
0.3,0.5,50.0
0.3,0.6,60.0
0.3,0.7,70.0
0.3,0.9,90.0
0.4,0.1,10.0
0.4,0.3,30.0
0.4,0.4,40.0
0.4,0.5,50.0
0.4,0.6,60.0
0.4,0.7,70.0
0.4,0.9,90.0
0.5,0.1,10.0
0.5,0.3,30.0
0.5,0.4,40.0
0.5,0.5,50.0
0.5,0.6,60.0
0.5,0.7,70.0
0.6,0.1,10.0
0.6,0.3,30.0
0.6,0.4,40.0
0.6,0.5,50.0
0.6,0.6,60.0
0.6,0.7,70.0
0.7,0.1,10.0
0.7,0.3,30.0
0.7,0.4,40.0
0.7,0.5,50.0
0.7,0.6,60.0
0.9,0.1,10.0
0.9,0.3,30.0
0.9,0.4,40.0
