solar,wind,VRE share
0.1,0.1,19.9
0.1,0.3,38.3
0.1,0.4,47.2
0.1,0.5,54.2
0.1,0.6,59.3
0.1,0.7,62.6
0.3,0.1,36.3
0.3,0.3,52.3
0.3,0.4,59.2
0.3,0.5,64.0
0.3,0.6,67.6
0.3,0.7,69.6
0.3,0.9,72.0
0.4,0.1,39.6
0.4,0.3,54.4
0.4,0.4,60.7
0.4,0.5,65.3
0.4,0.6,68.5
0.4,0.7,70.4
0.4,0.9,72.4
0.5,0.1,41.0
0.5,0.3,55.1
0.5,0.4,61.3
0.5,0.5,65.6
0.5,0.6,68.7
0.5,0.7,70.6
0.6,0.1,41.6
0.6,0.3,55.4
0.6,0.4,61.5
0.6,0.5,65.7
0.6,0.6,68.8
0.6,0.7,70.8
0.7,0.1,41.9
0.7,0.3,55.6
0.7,0.4,61.6
0.7,0.5,65.9
0.7,0.6,69.0
0.9,0.1,42.1
0.9,0.3,55.8
0.9,0.4,61.7
