solar,wind,system cost
0.1,0.1,213.5
0.1,0.3,200.4
0.1,0.4,203.6
0.1,0.5,207.9
0.1,0.6,214.2
0.1,0.7,222.0
0.3,0.1,203.4
0.3,0.3,207.7
0.3,0.4,223.8
0.3,0.5,217.9
0.3,0.6,225.2
0.3,0.7,233.8
0.3,0.9,252.5
0.4,0.1,211.3
0.4,0.3,216.4
0.4,0.4,221.1
0.4,0.5,227.2
0.4,0.6,234.7
0.4,0.7,243.4
0.4,0.9,262.1
0.5,0.1,220.7
0.5,0.3,226.0
0.5,0.4,231.0
0.5,0.5,237.1
0.5,0.6,244.7
0.5,0.7,253.2
0.6,0.1,230.5
0.6,0.3,236.0
0.6,0.4,240.8
0.6,0.5,247.2
0.6,0.6,377.8
0.6,0.7,263.5
0.7,0.1,240.6
0.7,0.3,246.1
0.7,0.4,250.9
0.7,0.5,262.8
0.7,0.6,274.4
0.9,0.1,260.7
0.9,0.3,266.6
0.9,0.4,299.8
