solar,wind,wind capacity factor
0.1,0.1,23.0
0.1,0.3,24.2
0.1,0.4,23.9
0.1,0.5,23.5
0.1,0.6,22.2
0.1,0.7,22.3
0.1,0.9,20.2
0.3,0.1,23.2
0.3,0.3,24.2
0.3,0.4,23.6
0.3,0.5,23.1
0.3,0.6,22.2
0.3,0.7,21.1
0.3,0.9,19.2
0.4,0.1,22.5
0.4,0.3,23.9
0.4,0.4,22.8
0.4,0.5,22.6
0.4,0.6,21.1
0.4,0.7,20.2
0.4,0.9,18.2
0.5,0.1,22.9
0.5,0.3,23.6
0.5,0.4,22.3
0.5,0.5,21.9
0.5,0.6,20.6
0.5,0.7,19.3
0.6,0.1,22.5
0.6,0.3,22.9
0.6,0.4,22.6
0.6,0.5,20.7
0.6,0.6,19.9
0.6,0.7,19.1
0.7,0.1,22.2
0.7,0.3,22.7
0.7,0.4,21.8
0.7,0.5,20.6
0.7,0.6,19.0
0.9,0.1,22.4
0.9,0.3,22.0
0.9,0.4,20.8
