solar,wind,VRE curt
0.1,0.1,0.1
0.1,0.3,1.7
0.1,0.4,3.5
0.1,0.5,6.8
0.1,0.6,10.8
0.1,0.7,15.8
0.1,0.9,24.2
0.3,0.1,6.1
0.3,0.3,3.8
0.3,0.4,5.0
0.3,0.5,7.6
0.3,0.6,11.2
0.3,0.7,15.4
0.3,0.9,23.3
0.4,0.1,11.1
0.4,0.3,7.2
0.4,0.4,8.2
0.4,0.5,10.9
0.4,0.6,14.3
0.4,0.7,18.2
0.4,0.9,26.1
0.5,0.1,15.1
0.5,0.3,11.3
0.5,0.4,12.3
0.5,0.5,14.9
0.5,0.6,18.7
0.5,0.7,22.5
0.6,0.1,19.1
0.6,0.3,15.4
0.6,0.4,16.5
0.6,0.5,19.3
0.6,0.6,23.2
0.6,0.7,27.3
0.7,0.1,22.6
0.7,0.3,19.7
0.7,0.4,20.7
0.7,0.5,23.8
0.7,0.6,27.7
0.9,0.1,29.8
0.9,0.3,27.5
0.9,0.4,28.9
