solar,wind,solar curt
0.1,0.1,0.0
0.1,0.3,0.0
0.1,0.4,0.0
0.1,0.5,0.0
0.1,0.6,0.0
0.1,0.7,0.0
0.1,0.9,0.1
0.3,0.1,7.6
0.3,0.3,4.2
0.3,0.4,3.2
0.3,0.5,2.9
0.3,0.6,2.8
0.3,0.7,3.0
0.3,0.9,3.8
0.4,0.1,13.7
0.4,0.3,9.6
0.4,0.4,8.8
0.4,0.5,8.3
0.4,0.6,8.2
0.4,0.7,8.1
0.4,0.9,9.9
0.5,0.1,18.5
0.5,0.3,15.2
0.5,0.4,14.2
0.5,0.5,13.7
0.5,0.6,14.0
0.5,0.7,15.0
0.6,0.1,22.7
0.6,0.3,19.9
0.6,0.4,19.2
0.6,0.5,19.4
0.6,0.6,20.4
0.6,0.7,22.5
0.7,0.1,26.4
0.7,0.3,24.6
0.7,0.4,24.2
0.7,0.5,24.9
0.7,0.6,26.6
0.9,0.1,34.0
0.9,0.3,33.4
0.9,0.4,33.8
