solar,wind,solar cap
0.1,0.1,248.1
0.1,0.3,260.9
0.1,0.4,263.1
0.1,0.5,264.7
0.1,0.6,265.6
0.1,0.7,264.2
0.1,0.9,265.3
0.3,0.1,747.5
0.3,0.3,766.3
0.3,0.4,776.4
0.3,0.5,786.1
0.3,0.6,795.6
0.3,0.7,798.6
0.3,0.9,800.2
0.4,0.1,1000.5
0.4,0.3,1027.4
0.4,0.4,1037.7
0.4,0.5,1047.4
0.4,0.6,1057.8
0.4,0.7,1065.2
0.4,0.9,1066.9
0.5,0.1,1266.2
0.5,0.3,1295.8
0.5,0.4,1312.7
0.5,0.5,1323.0
0.5,0.6,1329.3
0.5,0.7,1335.4
0.6,0.1,1540.1
0.6,0.3,1571.6
0.6,0.4,1586.6
0.6,0.5,1597.3
0.6,0.6,1602.4
0.6,0.7,1599.8
0.7,0.1,1818.9
0.7,0.3,1847.3
0.7,0.4,1863.7
0.7,0.5,1871.7
0.7,0.6,1873.2
0.9,0.1,2368.7
0.9,0.3,2391.9
0.9,0.4,2405.9
