solar,wind,SDES absolute dispatch
0.1,0.1,78576968.2
0.1,0.3,68027070.2
0.1,0.4,68111475.8
0.1,0.5,72844556.8
0.1,0.6,81482013.4
0.1,0.7,91275033.8
0.1,0.9,100593860.0
0.3,0.1,283064096.5
0.3,0.3,310775967.0
0.3,0.4,318368038.8
0.3,0.5,321328766.7
0.3,0.6,320224348.9
0.3,0.7,321144583.3
0.3,0.9,310061687.9
0.4,0.1,398048914.5
0.4,0.3,433725858.5
0.4,0.4,445919193.5
0.4,0.5,445204841.5
0.4,0.6,437966161.8
0.4,0.7,420476154.0
0.4,0.9,375553814.7
0.5,0.1,489882369.7
0.5,0.3,536587014.5
0.5,0.4,545220599.2
0.5,0.5,541186736.5
0.5,0.6,517287953.4
0.5,0.7,482592821.3
0.6,0.1,577037126.0
0.6,0.3,632862072.7
0.6,0.4,634835055.5
0.6,0.5,611586851.3
0.6,0.6,572187728.6
0.6,0.7,524025761.6
0.7,0.1,677634988.8
0.7,0.3,713183792.2
0.7,0.4,705333655.6
0.7,0.5,662985055.9
0.7,0.6,610088404.8
0.9,0.1,837151500.6
0.9,0.3,837557422.3
0.9,0.4,800838712.9
