solar,wind,solar share
0.1,0.1,10.0
0.1,0.3,10.0
0.1,0.4,10.0
0.1,0.5,10.0
0.1,0.6,10.0
0.1,0.7,10.0
0.1,0.9,10.0
0.3,0.1,27.7
0.3,0.3,28.7
0.3,0.4,29.0
0.3,0.5,29.1
0.3,0.6,29.2
0.3,0.7,29.1
0.3,0.9,28.9
0.4,0.1,34.5
0.4,0.3,36.2
0.4,0.4,36.5
0.4,0.5,36.7
0.4,0.6,36.7
0.4,0.7,36.8
0.4,0.9,36.0
0.5,0.1,40.8
0.5,0.3,42.4
0.5,0.4,42.9
0.5,0.5,43.1
0.5,0.6,43.0
0.5,0.7,42.5
0.6,0.1,46.4
0.6,0.3,48.0
0.6,0.4,48.5
0.6,0.5,48.4
0.6,0.6,47.8
0.6,0.7,46.5
0.7,0.1,51.5
0.7,0.3,52.8
0.7,0.4,53.1
0.7,0.5,52.6
0.7,0.6,51.4
0.9,0.1,59.4
0.9,0.3,60.0
0.9,0.4,59.6
