solar,wind,wind curt
0.1,0.1,0.1
0.1,0.3,2.2
0.1,0.4,4.4
0.1,0.5,8.3
0.1,0.6,12.9
0.1,0.7,18.6
0.1,0.9,28.0
0.3,0.1,1.8
0.3,0.3,3.4
0.3,0.4,6.3
0.3,0.5,10.7
0.3,0.6,16.0
0.3,0.7,22.0
0.3,0.9,32.5
0.4,0.1,1.9
0.4,0.3,4.2
0.4,0.4,7.5
0.4,0.5,13.0
0.4,0.6,18.9
0.4,0.7,25.2
0.4,0.9,36.3
0.5,0.1,1.3
0.5,0.3,5.6
0.5,0.4,10.1
0.5,0.5,16.1
0.5,0.6,23.0
0.5,0.7,28.9
0.6,0.1,1.9
0.6,0.3,7.6
0.6,0.4,12.8
0.6,0.5,19.2
0.6,0.6,26.3
0.6,0.7,32.1
0.7,0.1,2.7
0.7,0.3,10.0
0.7,0.4,15.2
0.7,0.5,22.2
0.7,0.6,29.1
0.9,0.1,3.9
0.9,0.3,13.8
0.9,0.4,19.7
