solar,wind,system cost
0.1,0.1,311.1
0.1,0.3,292.3
0.1,0.4,287.2
0.1,0.5,284.5
0.1,0.6,283.5
0.1,0.7,284.8
0.1,0.9,292.0
0.3,0.1,303.0
0.3,0.3,280.9
0.3,0.4,274.5
0.3,0.5,270.8
0.3,0.6,269.3
0.3,0.7,270.3
0.3,0.9,278.1
0.4,0.1,302.9
0.4,0.3,280.0
0.4,0.4,273.4
0.4,0.5,269.6
0.4,0.6,268.1
0.4,0.7,269.3
0.4,0.9,277.8
0.5,0.1,304.3
0.5,0.3,281.0
0.5,0.4,274.4
0.5,0.5,270.8
0.5,0.6,269.8
0.5,0.7,271.5
0.6,0.1,307.2
0.6,0.3,283.6
0.6,0.4,277.1
0.6,0.5,273.8
0.6,0.6,273.5
0.6,0.7,275.7
0.7,0.1,311.1
0.7,0.3,287.4
0.7,0.4,281.3
0.7,0.5,278.4
0.7,0.6,278.6
0.9,0.1,321.0
0.9,0.3,298.5
0.9,0.4,293.0
