solar,wind,wind share
0.1,0.1,10.0
0.1,0.3,29.3
0.1,0.4,38.2
0.1,0.5,45.9
0.1,0.6,52.3
0.1,0.7,57.0
0.1,0.9,64.8
0.3,0.1,9.8
0.3,0.3,29.0
0.3,0.4,37.5
0.3,0.5,44.6
0.3,0.6,50.4
0.3,0.7,54.6
0.3,0.9,60.8
0.4,0.1,9.8
0.4,0.3,28.7
0.4,0.4,37.0
0.4,0.5,43.5
0.4,0.6,48.7
0.4,0.7,52.3
0.4,0.9,57.3
0.5,0.1,9.9
0.5,0.3,28.3
0.5,0.4,36.0
0.5,0.5,41.9
0.5,0.6,46.2
0.5,0.7,49.8
0.6,0.1,9.8
0.6,0.3,27.7
0.6,0.4,34.9
0.6,0.5,40.4
0.6,0.6,44.2
0.6,0.7,47.5
0.7,0.1,9.7
0.7,0.3,27.0
0.7,0.4,33.9
0.7,0.5,38.9
0.7,0.6,42.6
0.9,0.1,9.6
0.9,0.3,25.9
0.9,0.4,32.1
