solar,wind,VRE share
0.1,0.1,20.0
0.1,0.3,39.3
0.1,0.4,48.2
0.1,0.5,55.9
0.1,0.6,62.3
0.1,0.7,67.0
0.1,0.9,74.8
0.3,0.1,37.5
0.3,0.3,57.7
0.3,0.4,66.5
0.3,0.5,73.7
0.3,0.6,79.6
0.3,0.7,83.7
0.3,0.9,89.7
0.4,0.1,44.3
0.4,0.3,64.9
0.4,0.4,73.5
0.4,0.5,80.2
0.4,0.6,85.4
0.4,0.7,89.1
0.4,0.9,93.3
0.5,0.1,50.7
0.5,0.3,70.7
0.5,0.4,78.9
0.5,0.5,85.0
0.5,0.6,89.2
0.5,0.7,92.3
0.6,0.1,56.2
0.6,0.3,75.7
0.6,0.4,83.4
0.6,0.5,88.8
0.6,0.6,92.0
0.6,0.7,94.0
0.7,0.1,61.2
0.7,0.3,79.8
0.7,0.4,87.0
0.7,0.5,91.5
0.7,0.6,94.0
0.9,0.1,69.0
0.9,0.3,85.9
0.9,0.4,91.7
