solar,wind,VRE share
0.1,0.1,20.0
0.1,0.3,38.5
0.1,0.4,47.1
0.1,0.5,54.4
0.1,0.6,60.8
0.1,0.7,66.8
0.1,0.9,75.9
0.3,0.1,38.1
0.3,0.3,55.5
0.3,0.4,62.8
0.3,0.5,68.7
0.3,0.6,73.5
0.3,0.7,78.7
0.3,0.9,85.3
0.4,0.1,44.3
0.4,0.3,60.4
0.4,0.4,67.3
0.4,0.5,72.6
0.4,0.6,76.9
0.4,0.7,81.3
0.4,0.9,86.6
0.5,0.1,48.6
0.5,0.3,64.4
0.5,0.4,70.4
0.5,0.5,75.2
0.5,0.6,79.1
0.5,0.7,83.0
0.6,0.1,53.2
0.6,0.3,68.2
0.6,0.4,73.6
0.6,0.5,77.6
0.6,0.6,81.0
0.6,0.7,84.3
0.7,0.1,57.1
0.7,0.3,71.4
0.7,0.4,76.3
0.7,0.5,79.8
0.7,0.6,82.7
0.9,0.1,63.2
0.9,0.3,76.3
0.9,0.4,80.5
