solar,wind,solar absolute curt
0.1,0.1,268891.7
0.1,0.3,731161.5
0.1,0.4,1240289.8
0.1,0.5,1405119.7
0.1,0.6,1701957.8
0.1,0.7,2858797.4
0.1,0.9,1614844.4
0.3,0.1,50325403.8
0.3,0.3,72961196.4
0.3,0.4,89784782.4
0.3,0.5,105001638.3
0.3,0.6,120033101.7
0.3,0.7,121125895.9
0.3,0.9,118798822.4
0.4,0.1,170406831.4
0.4,0.3,208422610.1
0.4,0.4,235375675.2
0.4,0.5,268296298.4
0.4,0.6,299755713.8
0.4,0.7,308285449.7
0.4,0.9,340355549.4
0.5,0.1,351137008.8
0.5,0.3,394381333.2
0.5,0.4,434382913.0
0.5,0.5,473800521.0
0.5,0.6,507321641.6
0.5,0.7,548849982.6
0.6,0.1,520749292.6
0.6,0.3,584705938.3
0.6,0.4,635518645.7
0.6,0.5,699088041.3
0.6,0.6,745881860.6
0.6,0.7,800655696.6
0.7,0.1,716988672.0
0.7,0.3,801008997.8
0.7,0.4,856204771.7
0.7,0.5,918219816.2
0.7,0.6,987520464.6
0.9,0.1,1163751972.4
0.9,0.3,1277942290.3
0.9,0.4,1340249962.9
