solar,wind,wind cap
0.1,0.1,98.2
0.1,0.3,294.7
0.1,0.4,394.9
0.1,0.5,497.1
0.1,0.6,608.8
0.1,0.7,718.4
0.1,0.9,910.6
0.3,0.1,98.2
0.3,0.3,301.5
0.3,0.4,400.8
0.3,0.5,499.8
0.3,0.6,601.8
0.3,0.7,709.0
0.3,0.9,917.6
0.4,0.1,98.0
0.4,0.3,298.4
0.4,0.4,401.7
0.4,0.5,501.8
0.4,0.6,602.0
0.4,0.7,710.8
0.4,0.9,920.9
0.5,0.1,97.8
0.5,0.3,300.2
0.5,0.4,402.6
0.5,0.5,502.8
0.5,0.6,602.2
0.5,0.7,712.7
0.6,0.1,97.8
0.6,0.3,301.2
0.6,0.4,403.2
0.6,0.5,502.8
0.6,0.6,601.6
0.6,0.7,714.4
0.7,0.1,97.7
0.7,0.3,301.8
0.7,0.4,403.9
0.7,0.5,503.5
0.7,0.6,601.3
0.9,0.1,97.3
0.9,0.3,302.7
0.9,0.4,404.5
