solar,wind,total demand
0.1,0.1,3899.591
0.1,0.3,3899.835
0.1,0.4,3904.497
0.1,0.5,3922.323
0.1,0.6,3911.072
0.1,0.7,3898.823
0.1,0.9,3898.823
0.3,0.4,3898.825
0.3,0.5,3898.824
0.3,0.6,3898.891
0.3,0.7,3898.823
0.3,0.9,3899.123
0.4,0.4,3898.922
0.4,0.5,3898.899
0.4,0.6,3898.823
0.4,0.7,3899.04
0.4,0.9,3898.825
0.5,0.1,3898.824
0.5,0.3,3898.83
0.5,0.4,3899.023
0.5,0.5,3898.823
0.5,0.6,3898.823
0.5,0.7,3898.823
0.6,0.4,3899.021
0.6,0.5,3898.823
0.6,0.6,3898.823
0.6,0.7,3898.889
0.7,0.4,3898.823
0.7,0.5,3898.823
0.7,0.6,3898.957
0.9,0.1,3898.823
0.9,0.3,3899.302
0.9,0.4,3898.946
