solar,wind,backup capacity factor high
0.1,0.1,89.85
0.1,0.3,83.26
0.1,0.4,78.91
0.1,0.5,75.77
0.1,0.6,73.74
0.1,0.7,71.5
0.1,0.9,69.14
0.3,0.4,66.27
0.3,0.5,64.29
0.3,0.6,65.16
0.3,0.7,61.65
0.3,0.9,65.06
0.4,0.4,69.87
0.4,0.5,66.01
0.4,0.6,61.22
0.4,0.7,60.43
0.4,0.9,58.98
0.5,0.1,68.71
0.5,0.3,65.51
0.5,0.4,73.73
0.5,0.5,61.99
0.5,0.6,60.7
0.5,0.7,59.88
0.6,0.4,63.3
0.6,0.5,61.7
0.6,0.6,60.44
0.6,0.7,59.59
0.7,0.4,63.12
0.7,0.5,61.53
0.7,0.6,60.27
0.9,0.1,67.13
0.9,0.3,63.93
0.9,0.4,61.84
