solar,wind,solar share
0.1,0.1,10.0
0.1,0.3,10.0
0.1,0.4,10.0
0.1,0.5,10.0
0.1,0.6,10.0
0.1,0.7,10.0
0.1,0.9,9.9
0.3,0.4,24.4
0.3,0.5,23.8
0.3,0.6,22.9
0.3,0.7,22.6
0.3,0.9,20.7
0.4,0.4,26.1
0.4,0.5,25.2
0.4,0.6,24.6
0.4,0.7,23.1
0.4,0.9,22.4
0.5,0.1,31.4
0.5,0.3,28.2
0.5,0.4,26.5
0.5,0.5,25.9
0.5,0.6,25.0
0.5,0.7,24.2
0.6,0.4,26.7
0.6,0.5,26.2
0.6,0.6,25.3
0.6,0.7,24.0
0.7,0.4,27.2
0.7,0.5,26.3
0.7,0.6,24.8
0.9,0.1,32.9
0.9,0.3,29.0
0.9,0.4,28.2
