solar,wind,VRE share
0.1,0.1,19.9
0.1,0.3,38.3
0.1,0.4,47.0
0.1,0.5,53.3
0.1,0.6,57.9
0.1,0.7,61.7
0.1,0.9,65.8
0.3,0.4,58.2
0.3,0.5,62.7
0.3,0.6,65.9
0.3,0.7,68.1
0.3,0.9,72.1
0.4,0.4,59.5
0.4,0.5,63.5
0.4,0.6,66.7
0.4,0.7,68.7
0.4,0.9,72.5
0.5,0.1,40.7
0.5,0.3,54.1
0.5,0.4,59.9
0.5,0.5,63.8
0.5,0.6,66.9
0.5,0.7,68.9
0.6,0.4,60.1
0.6,0.5,64.0
0.6,0.6,67.1
0.6,0.7,69.1
0.7,0.4,60.2
0.7,0.5,64.1
0.7,0.6,67.2
0.9,0.1,42.1
0.9,0.3,55.3
0.9,0.4,61.1
