solar,wind,VRE share
0.1,0.1,20.0
0.1,0.3,38.5
0.1,0.4,47.3
0.1,0.5,54.4
0.1,0.6,59.8
0.1,0.7,63.3
0.1,0.9,67.4
0.3,0.1,38.1
0.3,0.3,55.3
0.3,0.4,62.8
0.3,0.5,68.3
0.3,0.6,72.4
0.3,0.7,75.4
0.3,0.9,78.3
0.4,0.1,43.8
0.4,0.3,60.0
0.4,0.4,67.3
0.4,0.5,72.5
0.4,0.6,76.4
0.4,0.7,78.7
0.4,0.9,80.9
0.5,0.1,48.8
0.5,0.3,64.1
0.5,0.4,70.7
0.5,0.5,75.1
0.5,0.6,78.7
0.5,0.7,80.4
0.6,0.1,51.4
0.6,0.3,66.2
0.6,0.4,72.7
0.6,0.5,77.1
0.6,0.6,80.3
0.6,0.7,81.8
0.7,0.1,53.3
0.7,0.3,68.8
0.7,0.4,74.6
0.7,0.5,78.5
0.7,0.6,81.1
0.9,0.1,56.6
0.9,0.3,70.5
0.9,0.4,75.8
