solar,wind,solar share
0.1,0.1,10.0
0.1,0.3,10.0
0.1,0.4,10.0
0.1,0.5,10.0
0.1,0.6,10.0
0.1,0.7,10.0
0.1,0.9,10.0
0.3,0.1,28.4
0.3,0.3,28.0
0.3,0.4,27.5
0.3,0.5,27.3
0.3,0.6,26.9
0.3,0.7,26.8
0.3,0.9,26.5
0.4,0.1,34.3
0.4,0.3,33.6
0.4,0.4,33.1
0.4,0.5,32.8
0.4,0.6,32.3
0.4,0.7,31.7
0.4,0.9,31.0
0.5,0.1,39.3
0.5,0.3,38.0
0.5,0.4,37.1
0.5,0.5,36.2
0.5,0.6,35.5
0.5,0.7,34.5
0.6,0.1,42.0
0.6,0.3,40.4
0.6,0.4,39.5
0.6,0.5,38.7
0.6,0.6,37.7
0.6,0.7,36.5
0.7,0.1,44.0
0.7,0.3,43.1
0.7,0.4,41.6
0.7,0.5,40.4
0.7,0.6,38.8
0.9,0.1,47.3
0.9,0.3,44.9
0.9,0.4,43.1
