solar,wind,solar curt
0.1,0.1,0.1
0.1,0.3,0.2
0.1,0.4,0.2
0.1,0.5,0.1
0.1,0.6,0.1
0.1,0.7,0.1
0.1,0.9,0.2
0.3,0.1,5.4
0.3,0.3,6.7
0.3,0.4,8.3
0.3,0.5,9.0
0.3,0.6,10.2
0.3,0.7,10.8
0.3,0.9,11.6
0.4,0.1,14.2
0.4,0.3,16.1
0.4,0.4,17.2
0.4,0.5,18.0
0.4,0.6,19.2
0.4,0.7,20.7
0.4,0.9,22.5
0.5,0.1,21.4
0.5,0.3,24.0
0.5,0.4,25.7
0.5,0.5,27.5
0.5,0.6,29.0
0.5,0.7,31.0
0.6,0.1,30.1
0.6,0.3,32.6
0.6,0.4,34.2
0.6,0.5,35.5
0.6,0.6,37.2
0.6,0.7,39.2
0.7,0.1,37.1
0.7,0.3,38.5
0.7,0.4,40.6
0.7,0.5,42.3
0.7,0.6,44.6
0.9,0.1,47.4
0.9,0.3,50.1
0.9,0.4,52.1
