solar,wind,ES wind cap
0.1,0.1,0.8
0.1,0.3,8.7
0.1,0.4,10.1
0.1,0.5,18.9
0.1,0.6,29.9
0.1,0.7,36.9
0.1,0.9,48.6
0.3,0.1,0.8
0.3,0.3,0.8
0.3,0.4,4.8
0.3,0.5,13.2
0.3,0.6,14.2
0.3,0.7,16.9
0.3,0.9,24.2
0.4,0.1,0.0
0.4,0.3,1.0
0.4,0.4,1.0
0.4,0.5,13.1
0.4,0.6,14.0
0.4,0.7,13.9
0.4,0.9,11.7
0.5,0.1,0.0
0.5,0.3,1.0
0.5,0.4,1.0
0.5,0.5,1.6
0.5,0.6,1.0
0.5,0.7,1.5
0.6,0.1,0.0
0.6,0.3,0.9
0.6,0.4,1.0
0.6,0.5,1.0
0.6,0.6,1.0
0.6,0.7,1.0
0.7,0.1,0.0
0.7,0.3,0.9
0.7,0.4,0.9
0.7,0.5,0.9
0.7,0.6,1.0
0.9,0.1,0.0
0.9,0.3,0.8
0.9,0.4,0.9
