solar,wind,DK wind cap
0.1,0.1,14.6
0.1,0.3,39.3
0.1,0.4,68.8
0.1,0.5,73.4
0.1,0.6,73.4
0.1,0.7,73.4
0.1,0.9,73.4
0.3,0.1,13.6
0.3,0.3,40.3
0.3,0.4,64.5
0.3,0.5,73.4
0.3,0.6,73.4
0.3,0.7,73.4
0.3,0.9,73.4
0.4,0.1,13.0
0.4,0.3,44.9
0.4,0.4,71.7
0.4,0.5,73.4
0.4,0.6,73.4
0.4,0.7,73.4
0.4,0.9,73.4
0.5,0.1,12.4
0.5,0.3,48.6
0.5,0.4,73.4
0.5,0.5,73.4
0.5,0.6,73.4
0.5,0.7,73.4
0.6,0.1,12.8
0.6,0.3,49.1
0.6,0.4,68.7
0.6,0.5,73.4
0.6,0.6,73.4
0.6,0.7,73.4
0.7,0.1,13.4
0.7,0.3,47.9
0.7,0.4,69.1
0.7,0.5,73.4
0.7,0.6,73.4
0.9,0.1,14.5
0.9,0.3,63.3
0.9,0.4,73.4
