solar,wind,solar cap
0.1,0.1,234.9
0.1,0.3,243.4
0.1,0.4,246.8
0.1,0.5,249.6
0.1,0.6,252.7
0.1,0.7,255.5
0.1,0.9,254.8
0.3,0.1,689.4
0.3,0.3,702.6
0.3,0.4,713.2
0.3,0.5,723.5
0.3,0.6,739.4
0.3,0.7,759.1
0.3,0.9,764.4
0.4,0.1,909.7
0.4,0.3,931.5
0.4,0.4,942.4
0.4,0.5,960.9
0.4,0.6,973.4
0.4,0.7,980.9
0.4,0.9,997.7
0.5,0.1,1143.4
0.5,0.3,1160.9
0.5,0.4,1174.9
0.5,0.5,1186.2
0.5,0.6,1202.3
0.5,0.7,1209.8
0.6,0.1,1367.6
0.6,0.3,1387.5
0.6,0.4,1393.4
0.6,0.5,1414.1
0.6,0.6,1431.0
0.6,0.7,1435.0
0.7,0.1,1597.9
0.7,0.3,1601.2
0.7,0.4,1615.7
0.7,0.5,1644.0
0.7,0.6,1652.4
0.9,0.1,2068.8
0.9,0.3,2058.1
0.9,0.4,2073.8
