solar,wind,backup capacity factor high
0.1,0.1,94.54
0.1,0.3,93.46
0.1,0.4,91.29
0.1,0.5,88.33
0.1,0.6,84.49
0.1,0.7,82.01
0.1,0.9,80.45
0.3,0.1,89.38
0.3,0.3,88.97
0.3,0.4,87.84
0.3,0.5,83.88
0.3,0.6,82.27
0.3,0.7,79.02
0.3,0.9,32.95
0.4,0.1,87.63
0.4,0.3,86.03
0.4,0.4,84.03
0.4,0.5,80.08
0.4,0.6,76.07
0.4,0.7,33.92
0.4,0.9,28.43
0.5,0.1,85.16
0.5,0.3,81.31
0.5,0.4,76.98
0.5,0.5,73.97
0.5,0.6,34.44
0.5,0.7,29.27
0.6,0.1,82.44
0.6,0.3,74.91
0.6,0.4,68.79
0.6,0.5,35.21
0.6,0.6,30.08
0.6,0.7,26.23
0.7,0.1,78.78
0.7,0.3,68.05
0.7,0.4,57.63
0.7,0.5,31.92
0.7,0.6,26.83
0.9,0.1,71.24
0.9,0.3,51.6
0.9,0.4,28.72
