solar,wind,total demand
0.1,0.1,3214.526
0.1,0.3,3271.447
0.1,0.4,3307.351
0.1,0.5,3342.62
0.1,0.6,3384.034
0.1,0.7,3417.706
0.1,0.9,3480.248
0.3,0.1,3215.159
0.3,0.3,3263.449
0.3,0.4,3321.488
0.3,0.5,3378.095
0.3,0.6,3446.812
0.3,0.7,3502.588
0.3,0.9,3470.791
0.4,0.1,3215.34
0.4,0.3,3264.954
0.4,0.4,3323.897
0.4,0.5,3386.107
0.4,0.6,3466.668
0.4,0.7,3495.731
0.4,0.9,3297.462
0.5,0.1,3215.647
0.5,0.3,3269.453
0.5,0.4,3325.39
0.5,0.5,3408.126
0.5,0.6,3436.084
0.5,0.7,3349.003
0.6,0.1,3215.737
0.6,0.3,3276.705
0.6,0.4,3337.144
0.6,0.5,3391.304
0.6,0.6,3321.345
0.6,0.7,3253.964
0.7,0.1,3216.527
0.7,0.3,3286.075
0.7,0.4,3331.59
0.7,0.5,3297.53
0.7,0.6,3232.006
0.9,0.1,3219.851
0.9,0.3,3289.183
0.9,0.4,3216.086
