solar,wind,system efficiency
0.1,0.1,97.4
0.1,0.3,95.5
0.1,0.4,94.4
0.1,0.5,93.2
0.1,0.6,91.9
0.1,0.7,90.6
0.1,0.9,88.0
0.3,0.1,90.9
0.3,0.3,88.6
0.3,0.4,86.9
0.3,0.5,85.3
0.3,0.6,83.6
0.3,0.7,82.4
0.3,0.9,83.1
0.4,0.1,87.4
0.4,0.3,84.8
0.4,0.4,83.3
0.4,0.5,81.6
0.4,0.6,79.6
0.4,0.7,79.6
0.4,0.9,87.6
0.5,0.1,84.3
0.5,0.3,81.5
0.5,0.4,80.1
0.5,0.5,78.2
0.5,0.6,78.4
0.5,0.7,82.3
0.6,0.1,81.5
0.6,0.3,78.6
0.6,0.4,77.2
0.6,0.5,76.9
0.6,0.6,80.3
0.6,0.7,84.1
0.7,0.1,79.1
0.7,0.3,76.0
0.7,0.4,75.6
0.7,0.5,78.2
0.7,0.6,82.3
0.9,0.1,74.8
0.9,0.3,72.9
0.9,0.4,77.4
