solar,wind,solar absolute curt
0.1,0.1,74635.6
0.1,0.3,4891.4
0.1,0.4,2916.7
0.1,0.5,24185.3
0.1,0.6,119902.6
0.1,0.7,72668.0
0.1,0.9,831330.7
0.3,0.1,64430762.2
0.3,0.3,25536443.6
0.3,0.4,22230714.3
0.3,0.5,19594535.3
0.3,0.6,16221169.1
0.3,0.7,18368947.4
0.3,0.9,41498055.6
0.4,0.1,137986422.0
0.4,0.3,65099344.3
0.4,0.4,55523821.4
0.4,0.5,49743393.3
0.4,0.6,47532338.7
0.4,0.7,75113735.0
0.4,0.9,216964864.5
0.5,0.1,222647532.5
0.5,0.3,127707866.5
0.5,0.4,109293614.3
0.5,0.5,103094407.4
0.5,0.6,170787360.8
0.5,0.7,284814706.1
0.6,0.1,313183019.4
0.6,0.3,210624816.2
0.6,0.4,188133611.9
0.6,0.5,258889474.9
0.6,0.6,409333561.5
0.6,0.7,505827485.5
0.7,0.1,416288684.7
0.7,0.3,313164310.5
0.7,0.4,340446964.6
0.7,0.5,525990928.9
0.7,0.6,652993483.5
0.9,0.1,676936118.1
0.9,0.3,680318739.0
0.9,0.4,905981589.3
