solar,wind,transmission peak load ratio
0.1,0.1,0.633
0.1,0.3,0.763
0.1,0.4,0.829
0.1,0.5,0.859
0.1,0.6,0.883
0.1,0.7,0.919
0.1,0.9,1.018
0.3,0.1,0.747
0.3,0.3,0.934
0.3,0.4,1.002
0.3,0.5,1.019
0.3,0.6,1.007
0.3,0.7,1.013
0.3,0.9,1.168
0.4,0.1,0.815
0.4,0.3,1.019
0.4,0.4,1.137
0.4,0.5,1.128
0.4,0.6,1.111
0.4,0.7,1.17
0.4,0.9,1.2
0.5,0.1,0.877
0.5,0.3,1.153
0.5,0.4,1.285
0.5,0.5,1.271
0.5,0.6,1.26
0.5,0.7,1.232
0.6,0.1,0.98
0.6,0.3,1.303
0.6,0.4,1.467
0.6,0.5,1.402
0.6,0.6,1.304
0.6,0.7,1.288
0.7,0.1,1.076
0.7,0.3,1.498
0.7,0.4,1.615
0.7,0.5,1.422
0.7,0.6,1.365
0.9,0.1,1.305
0.9,0.3,1.742
0.9,0.4,1.546
