solar,wind,wind cap
0.1,0.1,121.8
0.1,0.3,351.1
0.1,0.4,458.7
0.1,0.5,559.6
0.1,0.6,653.8
0.1,0.7,752.0
0.1,0.9,968.8
0.3,0.1,118.1
0.3,0.3,369.8
0.3,0.4,479.7
0.3,0.5,573.8
0.3,0.6,675.5
0.3,0.7,775.6
0.3,0.9,965.6
0.4,0.1,117.1
0.4,0.3,376.2
0.4,0.4,490.2
0.4,0.5,591.8
0.4,0.6,679.8
0.4,0.7,780.1
0.4,0.9,970.0
0.5,0.1,117.0
0.5,0.3,378.6
0.5,0.4,494.9
0.5,0.5,600.4
0.5,0.6,696.0
0.5,0.7,786.0
0.6,0.1,115.7
0.6,0.3,378.1
0.6,0.4,500.4
0.6,0.5,606.3
0.6,0.6,684.0
0.6,0.7,771.2
0.7,0.1,112.6
0.7,0.3,381.9
0.7,0.4,500.9
0.7,0.5,584.1
0.7,0.6,669.5
0.9,0.1,108.8
0.9,0.3,375.4
0.9,0.4,461.1
