solar,wind,wind absolute curt
0.1,0.1,990861.0
0.1,0.3,12046893.3
0.1,0.4,25578334.1
0.1,0.5,48277570.4
0.1,0.6,89248852.0
0.1,0.7,155958275.4
0.1,0.9,364716967.5
0.3,0.1,7320323.4
0.3,0.3,27849609.1
0.3,0.4,40362130.3
0.3,0.5,51844843.2
0.3,0.6,92144484.3
0.3,0.7,164366935.4
0.3,0.9,606591544.1
0.4,0.1,8593100.4
0.4,0.3,34219267.9
0.4,0.4,47061590.6
0.4,0.5,68347669.0
0.4,0.6,108113794.8
0.4,0.7,249324786.7
0.4,0.9,868561289.8
0.5,0.1,10092836.4
0.5,0.3,37490229.1
0.5,0.4,54401255.0
0.5,0.5,86032101.3
0.5,0.6,188484139.2
0.5,0.7,445580479.1
0.6,0.1,10951315.3
0.6,0.3,42699018.1
0.6,0.4,72224114.5
0.6,0.5,130860771.6
0.6,0.6,328100687.8
0.6,0.7,601769625.6
0.7,0.1,9668843.5
0.7,0.3,52462593.1
0.7,0.4,99345977.8
0.7,0.5,221570316.5
0.7,0.6,464624725.8
0.9,0.1,11857898.8
0.9,0.3,81734213.0
0.9,0.4,219247303.5
