solar,wind,SDES dispatch
0.1,0.1,2.5
0.1,0.3,2.4
0.1,0.4,2.3
0.1,0.5,2.3
0.1,0.6,2.3
0.1,0.7,2.3
0.1,0.9,2.5
0.3,0.1,9.5
0.3,0.3,10.6
0.3,0.4,10.4
0.3,0.5,10.1
0.3,0.6,9.9
0.3,0.7,9.7
0.3,0.9,8.1
0.4,0.1,13.9
0.4,0.3,15.3
0.4,0.4,15.2
0.4,0.5,14.9
0.4,0.6,14.6
0.4,0.7,13.1
0.4,0.9,9.6
0.5,0.1,18.0
0.5,0.3,19.7
0.5,0.4,19.8
0.5,0.5,19.4
0.5,0.6,17.3
0.5,0.7,14.6
0.6,0.1,22.1
0.6,0.3,23.9
0.6,0.4,24.0
0.6,0.5,21.5
0.6,0.6,18.2
0.6,0.7,15.9
0.7,0.1,26.0
0.7,0.3,27.8
0.7,0.4,26.4
0.7,0.5,22.1
0.7,0.6,19.2
0.9,0.1,33.1
0.9,0.3,31.9
0.9,0.4,27.5
