solar,wind,wind share
0.1,0.1,9.9
0.1,0.3,28.3
0.1,0.4,37.2
0.1,0.5,44.2
0.1,0.6,49.3
0.1,0.7,52.7
0.1,0.9,56.8
0.3,0.1,9.5
0.3,0.3,26.5
0.3,0.4,34.1
0.3,0.5,39.6
0.3,0.6,43.8
0.3,0.7,46.4
0.3,0.9,49.6
0.4,0.1,9.3
0.4,0.3,25.7
0.4,0.4,33.1
0.4,0.5,38.7
0.4,0.6,43.0
0.4,0.7,45.6
0.4,0.9,48.7
0.5,0.1,9.2
0.5,0.3,25.4
0.5,0.4,32.9
0.5,0.5,38.4
0.5,0.6,42.8
0.5,0.7,45.5
0.6,0.1,9.2
0.6,0.3,25.4
0.6,0.4,32.8
0.6,0.5,38.3
0.6,0.6,42.7
0.6,0.7,45.4
0.7,0.1,9.2
0.7,0.3,25.3
0.7,0.4,32.7
0.7,0.5,38.3
0.7,0.6,42.6
0.9,0.1,9.2
0.9,0.3,25.3
0.9,0.4,32.6
