solar,wind,SDES absolute dispatch
0.1,0.1,1220.0
0.1,0.3,2020.5
0.1,0.4,2318.8
0.1,0.5,2078.1
0.1,0.6,1962.4
0.1,0.7,2069.3
0.1,0.9,2273.5
0.3,0.1,626.3
0.3,0.3,780.7
0.3,0.4,2028.6
0.3,0.5,417.3
0.3,0.6,2046.2
0.3,0.7,2302.8
0.3,0.9,2039.6
0.4,0.1,734.6
0.4,0.3,2511.7
0.4,0.4,709.8
0.4,0.5,2101.4
0.4,0.6,608.5
0.4,0.7,2155.7
0.4,0.9,522.4
0.5,0.1,1603.2
0.5,0.3,2540.9
0.5,0.4,2220.4
0.5,0.5,410.8
0.5,0.6,3226.5
0.5,0.7,545.4
0.6,0.1,96318.4
0.6,0.3,6358.4
0.6,0.4,1125.3
0.6,0.5,7.8
0.6,0.6,710.7
0.6,0.7,52149.8
0.7,0.1,1906.6
0.7,0.3,3324.5
0.7,0.4,507.6
0.7,0.5,390.1
0.7,0.6,593.0
0.9,0.1,2363.7
0.9,0.3,2347.9
0.9,0.4,0.0
