solar,wind,backup capacity factor low
0.1,0.1,5.29
0.1,0.3,10.27
0.1,0.4,10.64
0.1,0.5,11.28
0.1,0.6,11.4
0.1,0.7,11.21
0.1,0.9,10.97
0.3,0.1,11.46
0.3,0.3,10.58
0.3,0.4,10.83
0.3,0.5,11.02
0.3,0.6,11.04
0.3,0.7,11.02
0.3,0.9,11.14
0.4,0.1,11.51
0.4,0.3,10.62
0.4,0.4,10.87
0.4,0.5,10.94
0.4,0.6,11.08
0.4,0.7,11.08
0.4,0.9,11.2
0.5,0.1,11.49
0.5,0.3,10.62
0.5,0.4,10.87
0.5,0.5,10.97
0.5,0.6,11.08
0.5,0.7,11.14
0.6,0.1,11.5
0.6,0.3,10.64
0.6,0.4,10.9
0.6,0.5,10.98
0.6,0.6,11.09
0.6,0.7,11.16
0.7,0.1,11.49
0.7,0.3,10.68
0.7,0.4,10.88
0.7,0.5,10.98
0.7,0.6,11.1
0.9,0.1,11.5
0.9,0.3,10.69
0.9,0.4,10.92
