,,0
10,10,-1.9906633207049897
10,12,-1.8285161067331281
10,14,-1.8499718063812558
10,16,-1.871427506029384
10,18,-1.8928832056775118
10,20,-1.9143389053256399
10,22,-1.935794604973768
10,24,-1.9572503046218956
10,26,-1.9787060042700237
10,28,-2.0001617039181516
10,30,-1.3030518719058248
10,32,-1.3025496387595707
10,34,-1.3020474056133169
10,36,-1.301545172467063
10,38,-1.301042939320809
10,40,-2.41430878100096
10,42,-2.409811454336944
10,44,-2.4053141276729284
10,46,-2.400816801008912
10,48,-2.396319474344896
10,50,-2.3108511823294746
10,52,-2.307166349463139
10,54,-2.3034815165968032
10,56,-2.299796683730467
10,58,-2.2961118508641314
10,60,-2.5978602226727805
10,62,-2.5917372986806386
10,64,-2.5856143746884968
10,66,-2.579491450696355
10,68,-2.5733685267042126
10,70,-1.8753668956797458
10,72,-1.858888192618674
10,74,-1.8424094895576022
10,76,-1.8259307864965304
10,78,-1.8094520834354582
10,80,-1.7929733803743864
10,82,-1.7764946773133143
10,84,-1.7600159742522425
10,86,-1.7435372711911707
10,88,-1.7270585681300985
10,90,-1.7105798650690267
10,92,-1.694101162007955
10,94,-1.677622458946883
10,96,-1.6611437558858113
10,98,-1.644665052824739
12,10,2.59238957857237
12,12,2.7275122568822545
12,14,2.7096325071754817
12,16,2.6917527574687075
12,18,2.6738730077619346
12,20,2.6559932580551613
12,22,2.6381135083483884
12,24,2.6202337586416142
12,26,2.6023540089348414
12,28,2.5844742592280676
12,30,3.165399119238341
12,32,3.165817646860219
12,34,3.1662361744820977
12,36,3.166654702103976
12,38,3.1670732297258537
12,40,2.2393516949923953
12,42,2.2430994672124083
12,44,2.2468472394324217
12,46,2.2505950116524347
12,48,2.254342783872448
12,50,2.3255663605519654
12,52,2.3286370546072455
12,54,2.331707748662526
12,56,2.3347784427178055
12,58,2.3378491367730856
12,60,2.0863921602658775
12,62,2.0914945969259957
12,64,2.0965970335861144
12,66,2.101699470246232
12,68,2.106801906906351
12,70,2.6884699327600736
12,72,2.7022021853109663
12,74,2.71593443786186
12,76,2.729666690412753
12,78,2.7433989429636467
12,80,2.7571311955145394
12,82,2.770863448065433
12,84,2.7845957006163258
12,86,2.7983279531672194
12,88,2.8120602057181125
12,90,2.825792458269006
12,92,2.839524710819899
12,94,2.853256963370793
12,96,2.866989215921685
12,98,2.8807214684725793
14,10,5.865998792341913
14,12,5.981818230893243
14,14,5.966492731144579
14,16,5.9511672313959165
14,18,5.935841731647255
14,20,5.920516231898592
14,22,5.9051907321499275
14,24,5.889865232401266
14,26,5.874539732652603
14,28,5.85921423290394
14,30,6.357149827198458
14,32,6.357508565160069
14,34,6.3578673031216795
14,36,6.358226041083288
14,38,6.3585847790449
14,40,5.563394892130505
14,42,5.566607268319087
14,44,5.569819644507671
14,46,5.573032020696254
14,48,5.576244396884836
14,50,5.637293176895852
14,52,5.639925200371806
14,54,5.64255722384776
14,56,5.6451892473237155
14,58,5.647821270799669
14,60,5.432286719507776
14,62,5.436660236645021
14,64,5.441033753782265
14,66,5.445407270919509
14,68,5.449780788056753
14,70,5.948353381645658
14,72,5.960123883832139
14,74,5.971894386018619
14,76,5.983664888205098
14,78,5.995435390391577
14,80,6.0072058925780585
14,82,6.018976394764538
14,84,6.030746896951018
14,86,6.042517399137497
14,88,6.0542879013239785
14,90,6.066058403510458
14,92,6.077828905696937
14,94,6.0895994078834175
14,96,6.101369910069899
14,98,6.113140412256378
16,10,8.321205702669069
16,12,8.422547711401483
16,14,8.409137899121403
16,16,8.395728086841322
16,18,8.382318274561243
16,20,8.368908462281164
16,22,8.355498650001083
16,24,8.342088837721002
16,26,8.328679025440923
16,28,8.315269213160843
16,30,8.750962858168545
16,32,8.751276753884957
16,34,8.751590649601365
16,36,8.751904545317773
16,38,8.752218441034183
16,40,8.056427289984088
16,42,8.059238119149096
16,44,8.062048948314107
16,46,8.064859777479118
16,48,8.067670606644127
16,50,8.121088289153766
16,52,8.123391309695226
16,54,8.125694330236685
16,56,8.127997350778147
16,58,8.130300371319606
16,60,7.941707638939199
16,62,7.945534466434288
16,64,7.949361293929377
16,66,7.953188121424466
16,68,7.957014948919554
16,70,8.393265968309846
16,72,8.403565157723017
16,74,8.413864347136187
16,76,8.424163536549356
16,78,8.434462725962526
16,80,8.444761915375697
16,82,8.455061104788866
16,84,8.465360294202036
16,86,8.475659483615205
16,88,8.485958673028376
16,90,8.496257862441546
16,92,8.506557051854715
16,94,8.516856241267885
16,96,8.527155430681056
16,98,8.537454620094225
18,10,10.230811077367969
18,12,10.320892862907893
18,14,10.308973029770046
18,16,10.297053196632195
18,18,10.285133363494344
18,20,10.273213530356497
18,22,10.26129369721865
18,24,10.249373864080798
18,26,10.237454030942951
18,28,10.225534197805104
18,30,10.61281743781195
18,32,10.613096456226536
18,34,10.61337547464112
18,36,10.613654493055707
18,38,10.613933511470291
18,40,9.995452488314651
18,42,9.997951003127996
18,44,10.000449517941338
18,46,10.002948032754679
18,48,10.005446547568022
18,50,10.052928932021034
18,52,10.05497606139122
18,54,10.057023190761406
18,56,10.059070320131594
18,58,10.06111744950178
18,60,9.89347946516364
18,62,9.89688108960372
18,64,9.900282714043799
18,66,9.903684338483878
18,68,9.907085962923958
18,70,10.294864646826438
18,72,10.304019481860367
18,74,10.313174316894296
18,76,10.322329151928225
18,78,10.331483986962155
18,80,10.340638821996082
18,82,10.34979365703001
18,84,10.358948492063941
18,86,10.368103327097868
18,88,10.377258162131799
18,90,10.386412997165726
18,92,10.395567832199655
18,94,10.404722667233585
18,96,10.413877502267512
18,98,10.423032337301443
20,10,11.75849537712709
20,12,11.83956898411302
20,14,11.828841134288956
20,16,11.818113284464893
20,18,11.807385434640826
20,20,11.796657584816764
20,22,11.785929734992699
20,24,11.775201885168636
20,26,11.764474035344572
20,28,11.753746185520509
20,30,12.102301101526672
20,32,12.102552218099797
20,34,12.102803334672926
20,36,12.10305445124605
20,38,12.103305567819177
20,40,11.546672646979102
20,42,11.548921310311114
20,44,11.55116997364312
20,46,11.553418636975127
20,48,11.555667300307137
20,50,11.598401446314845
20,52,11.600243862748014
20,54,11.602086279181183
20,56,11.603928695614352
20,58,11.605771112047517
20,60,11.454896926143192
20,62,11.457958388139264
20,64,11.461019850135337
20,66,11.464081312131405
20,68,11.467142774127478
20,70,11.816143589639712
20,72,11.82438294117025
20,74,11.832622292700782
20,76,11.840861644231317
20,78,11.849100995761855
20,80,11.857340347292391
20,82,11.865579698822929
20,84,11.873819050353465
20,86,11.882058401883997
20,88,11.890297753414533
20,90,11.89853710494507
20,92,11.906776456475606
20,94,11.915015808006144
20,96,11.923255159536676
20,98,11.931494511067212
22,10,13.008418895111824
22,12,13.082122174189942
22,14,13.072369583440793
22,16,13.062616992691645
22,18,13.052864401942493
22,20,13.043111811193345
22,22,13.033359220444197
22,24,13.023606629695047
22,26,13.0138540389459
22,28,13.004101448196751
22,30,13.320969553656898
22,32,13.32119784145065
22,34,13.3214261292444
22,36,13.321654417038154
22,38,13.321882704831904
22,40,12.815852776795472
22,42,12.81789701618821
22,44,12.819941255580943
22,46,12.821985494973676
22,48,12.824029734366412
22,50,12.862878958009782
22,52,12.864553882039937
22,54,12.86622880607009
22,56,12.867903730100243
22,58,12.869578654130393
22,60,12.732420303308281
22,62,12.735203450577437
22,64,12.737986597846593
22,66,12.740769745115745
22,68,12.743552892384901
22,70,13.060826361032388
22,72,13.068316680605605
22,74,13.075807000178816
22,76,13.08329731975203
22,78,13.090787639325246
22,80,13.09827795889846
22,82,13.105768278471677
22,84,13.113258598044892
22,86,13.120748917618103
22,88,13.12823923719132
22,90,13.135729556764533
22,92,13.14321987633775
22,94,13.150710195910964
22,96,13.158200515484175
22,98,13.16569083505739
24,10,14.050021826765768
24,12,14.11758316592071
24,14,14.108643291067324
24,16,14.099703416213938
24,18,14.090763541360548
24,20,14.081823666507162
24,22,14.072883791653776
24,24,14.063943916800389
24,26,14.055004041947003
24,28,14.046064167093617
24,30,14.336526597098754
24,32,14.336735860909691
24,34,14.336945124720632
24,36,14.33715438853157
24,38,14.337363652342509
24,40,13.87350288497578
24,42,13.875376771085786
24,44,13.877250657195795
24,46,13.879124543305801
24,48,13.880998429415808
24,50,13.916610217755565
24,52,13.918145564783204
24,54,13.919680911810847
24,56,13.921216258838488
24,58,13.922751605866123
24,60,13.79702311761252
24,62,13.79957433594258
24,64,13.80212555427264
24,66,13.804676772602697
24,68,13.807227990932757
24,70,14.09806200385962
24,72,14.104928130135066
24,74,14.111794256410512
24,76,14.118660382685958
24,78,14.125526508961405
24,80,14.132392635236855
24,82,14.1392587615123
24,84,14.146124887787748
24,86,14.15299101406319
24,88,14.159857140338639
24,90,14.166723266614087
24,92,14.173589392889532
24,94,14.18045551916498
24,96,14.187321645440424
24,98,14.194187771715871
26,10,14.931378153549876
26,12,14.993742466615975
26,14,14.985490274443618
26,16,14.977238082271263
26,18,14.968985890098907
26,20,14.960733697926548
26,22,14.952481505754193
26,24,14.944229313581836
26,26,14.935977121409477
26,28,14.927724929237119
26,30,15.195844095395705
26,32,15.19603726199042
26,34,15.19623042858513
26,36,15.196423595179848
26,38,15.196616761774562
26,40,14.768437591897582
26,42,14.770167332922199
26,44,14.771897073946821
26,46,14.773626814971447
26,48,14.775356555996064
26,50,14.808228976001997
26,52,14.809646219412127
26,54,14.811063462822254
26,56,14.812480706232382
26,58,14.813897949642513
26,60,14.697840883562263
26,62,14.700195854328472
26,64,14.70255082509468
26,66,14.704905795860887
26,68,14.707260766627098
26,70,14.975722932405738
26,72,14.982060895121533
26,74,14.988398857837332
26,76,14.994736820553129
26,78,15.001074783268924
26,80,15.007412745984722
26,82,15.013750708700519
26,84,15.020088671416316
26,86,15.026426634132111
26,88,15.032764596847908
26,90,15.039102559563707
26,92,15.045440522279504
26,94,15.051778484995298
26,96,15.058116447711095
26,98,15.064454410426894
28,10,15.68682643365054
28,12,15.744736152926203
28,14,15.737073403051873
28,16,15.729410653177542
28,18,15.72174790330321
28,20,15.714085153428877
28,22,15.706422403554548
28,24,15.698759653680217
28,26,15.691096903805882
28,28,15.68343415393155
28,30,15.932401951078813
28,32,15.932581320059617
28,34,15.932760689040421
28,36,15.93294005802123
28,38,15.933119427002035
28,40,15.535524483544835
28,42,15.537130671639126
28,44,15.538736859733419
28,46,15.540343047827712
