,0
solar_curtailment_s0w0,0.0
solar_curtailment_s1w0,
solar_curtailment_s2w0,
solar_curtailment_s3w0,
solar_curtailment_s4w0,
solar_curtailment_s5w0,
solar_curtailment_s6w0,
solar_curtailment_s0w1,
solar_curtailment_s1w1,
solar_curtailment_s2w1,
solar_curtailment_s3w1,
solar_curtailment_s4w1,
solar_curtailment_s5w1,
solar_curtailment_s6w1,
solar_curtailment_s0w2,
solar_curtailment_s1w2,
solar_curtailment_s2w2,
solar_curtailment_s3w2,
solar_curtailment_s4w2,
solar_curtailment_s5w2,
solar_curtailment_s6w2,
solar_curtailment_s0w3,
solar_curtailment_s1w3,
solar_curtailment_s2w3,
solar_curtailment_s3w3,
solar_curtailment_s4w3,
solar_curtailment_s5w3,
solar_curtailment_s0w4,
solar_curtailment_s1w4,
solar_curtailment_s2w4,
solar_curtailment_s3w4,
solar_curtailment_s4w4,
solar_curtailment_s5w4,
solar_curtailment_s0w5,
solar_curtailment_s1w5,
solar_curtailment_s2w5,
solar_curtailment_s3w5,
solar_curtailment_s4w5,
solar_curtailment_s0w6,
solar_curtailment_s1w6,
solar_curtailment_s2w6,
