,,0
10,10,31.4394342117585
10,20,39.389756381438055
10,30,18.48078609667122
10,40,-5.456237250638709
10,50,-0.0374382367799802
10,60,-16.43730984492495
10,70,-28.56135650442944
10,80,-28.478962989124078
10,90,-28.396569473818722
20,10,28.47354414335883
20,20,32.44870522819861
20,30,21.994220085815197
20,40,10.025708412160228
20,50,12.735107919089595
20,60,4.535172115017109
20,70,-1.5268512147351365
20,80,-1.485654457082457
20,90,-1.4444576994297775
30,10,49.91570901739667
30,20,53.168740327912566
30,30,44.737238466480974
30,40,39.77792906419294
30,50,34.58279554988912
30,60,18.057048795408583
30,70,-17.122927468686477
30,80,-17.22534431249193
30,90,-17.32776115629738
40,10,68.30032967829817
40,20,70.13846556199172
40,30,63.454424359901765
40,40,60.03856683582816
40,50,37.65179676021186
40,60,18.42668039834941
40,70,18.06950158830512
40,80,18.130371914166833
40,90,18.191242240028544
50,10,77.52980468826999
50,20,76.6736295352113
50,30,72.42776809090995
50,40,58.44597255067499
50,50,37.8493526842988
50,60,37.90170933687219
50,70,37.621984152140264
50,80,37.67669827613314
60,10,84.3779769877109
60,20,79.81149415073567
60,30,72.86239280469098
60,40,54.54653189337048
60,50,50.21570318076981
60,60,50.143086284473426
60,70,49.879286310625574
70,10,90.61460190732495
70,20,76.68556412255853
70,30,61.688712848969196
70,40,61.787674574505814
70,50,61.74969997787492
70,60,61.672334084752634
80,10,91.55463845135728
80,20,79.36673038968665
80,30,66.244485525296
80,40,66.33107703514052
80,50,66.29784926308851
90,10,92.28577798560467
90,20,81.4524623483821
90,30,69.78862510874167
90,40,69.90829278226241
