,,0
10,10,0
10,20,0
10,30,0
10,40,0
10,50,0
10,60,0
10,70,0
10,80,0
10,90,0
20,10,5.597510320981297
20,20,4.813341479789273
20,30,5.012749686465604
20,40,5.284180730053047
20,50,5.494040986291319
20,60,5.849765030293528
20,70,6.360892098172564
20,80,6.4020888558252524
20,90,6.4432856134779435
30,10,8.586457495258577
30,20,6.896737752068027
30,30,6.214361050247277
30,40,5.055741806159446
30,50,4.25898837134908
30,60,3.592441739517112
30,70,3.1301998980655372
30,80,3.027783054260098
30,90,2.9253662104546567
40,10,22.244468360333535
40,20,21.702544276453946
40,30,21.364389677316716
40,40,20.97451473869362
40,50,20.278237455937482
40,60,19.828127083820664
40,70,19.470948273776393
40,80,19.531818599638118
40,90,19.59268892549983
50,10,34.11277140220483
50,20,34.12822120796362
50,30,33.995778677873865
50,40,33.88401550472367
50,50,33.46251038332644
50,60,33.18502675838433
50,70,32.905301573652395
50,80,32.96001569764531
50,90,
60,10,43.782764615300565
60,20,43.8212484125054
60,30,43.75037335847083
60,40,43.60224912905769
60,50,43.2288073511639
60,60,43.15619045486753
60,70,42.89239048101966
60,80,
60,90,
70,10,51.0178935647336
70,20,50.9885960380022
70,30,50.88073749158103
70,40,50.97969921711765
70,50,50.941724620486795
70,60,50.86435872736445
70,70,
70,80,
70,90,
80,10,56.90751865158984
80,20,56.88188331569988
80,30,56.78750708758136
80,40,56.87409859742589
80,50,56.8408708253739
80,60,
80,70,
80,80,
80,90,
90,10,61.48833816358918
90,20,61.46593161594939
90,30,61.38242205299533
90,40,61.50208972651606
90,50,
90,60,
90,70,
90,80,
90,90,
