solar,wind,backup capacity factor high
0.1,0.1,100.0
0.1,0.3,83.6
0.1,0.4,79.51
0.1,0.5,76.17
0.1,0.6,73.79
0.1,0.7,71.69
0.1,0.9,69.61
0.3,0.1,77.83
0.3,0.3,72.56
0.3,0.4,69.09
0.3,0.5,66.94
0.3,0.6,64.82
0.3,0.7,63.01
0.3,0.9,60.71
0.4,0.1,74.67
0.4,0.3,69.79
0.4,0.4,66.51
0.4,0.5,64.55
0.4,0.6,62.49
0.4,0.7,60.68
0.4,0.9,58.92
0.5,0.1,73.48
0.5,0.3,68.74
0.5,0.4,65.44
0.5,0.5,62.95
0.5,0.6,60.89
0.5,0.7,59.59
0.6,0.1,72.33
0.6,0.3,67.76
0.6,0.4,64.44
0.6,0.5,61.88
0.6,0.6,59.89
0.6,0.7,58.69
0.7,0.1,71.73
0.7,0.3,67.01
0.7,0.4,63.83
0.7,0.5,61.32
0.7,0.6,59.57
0.9,0.1,71.3
0.9,0.3,66.34
0.9,0.4,63.26
