solar,wind,ES solar cap
0.1,0.1,55.4
0.1,0.3,55.7
0.1,0.4,55.1
0.1,0.5,52.2
0.1,0.6,48.9
0.1,0.7,50.1
0.1,0.9,45.6
0.3,0.1,117.0
0.3,0.3,123.8
0.3,0.4,132.1
0.3,0.5,146.0
0.3,0.6,164.0
0.3,0.7,174.9
0.3,0.9,175.8
0.4,0.1,167.1
0.4,0.3,198.8
0.4,0.4,225.2
0.4,0.5,248.6
0.4,0.6,264.7
0.4,0.7,269.9
0.4,0.9,282.4
0.5,0.1,291.8
0.5,0.3,332.0
0.5,0.4,349.4
0.5,0.5,360.3
0.5,0.6,381.6
0.5,0.7,402.5
0.6,0.1,397.8
0.6,0.3,440.0
0.6,0.4,462.0
0.6,0.5,472.4
0.6,0.6,493.3
0.6,0.7,523.1
0.7,0.1,505.7
0.7,0.3,536.2
0.7,0.4,577.0
0.7,0.5,606.0
0.7,0.6,644.7
0.9,0.1,773.1
0.9,0.3,857.2
0.9,0.4,914.9
