solar,wind,DK wind cap
0.1,0.1,13.8
0.1,0.3,17.4
0.1,0.4,19.3
0.1,0.5,24.3
0.1,0.6,33.9
0.1,0.7,49.7
0.1,0.9,73.4
0.3,0.1,13.9
0.3,0.3,17.8
0.3,0.4,20.6
0.3,0.5,28.6
0.3,0.6,38.4
0.3,0.7,52.8
0.3,0.9,73.4
0.4,0.1,13.9
0.4,0.3,18.0
0.4,0.4,21.2
0.4,0.5,29.7
0.4,0.6,38.5
0.4,0.7,53.6
0.4,0.9,73.4
0.5,0.1,13.9
0.5,0.3,18.2
0.5,0.4,21.8
0.5,0.5,30.8
0.5,0.6,40.8
0.5,0.7,55.2
0.6,0.1,13.9
0.6,0.3,18.4
0.6,0.4,22.1
0.6,0.5,31.5
0.6,0.6,42.0
0.6,0.7,56.8
0.7,0.1,13.9
0.7,0.3,18.5
0.7,0.4,22.4
0.7,0.5,32.1
0.7,0.6,43.0
0.9,0.1,13.9
0.9,0.3,18.7
0.9,0.4,23.0
