solar,wind,wind cap
0.1,0.1,98.6
0.1,0.3,318.7
0.1,0.4,430.9
0.1,0.5,547.3
0.1,0.6,668.8
0.1,0.7,782.1
0.1,0.9,989.9
0.3,0.1,98.6
0.3,0.3,316.1
0.3,0.4,425.4
0.3,0.5,539.4
0.3,0.6,656.7
0.3,0.7,767.3
0.3,0.9,981.1
0.4,0.1,98.4
0.4,0.3,317.3
0.4,0.4,423.6
0.4,0.5,539.9
0.4,0.6,655.6
0.4,0.7,765.1
0.4,0.9,972.7
0.5,0.1,98.3
0.5,0.3,320.8
0.5,0.4,421.7
0.5,0.5,534.0
0.5,0.6,649.5
0.5,0.7,757.3
0.6,0.1,98.4
0.6,0.3,317.8
0.6,0.4,420.8
0.6,0.5,534.2
0.6,0.6,648.5
0.6,0.7,755.8
0.7,0.1,98.5
0.7,0.3,315.4
0.7,0.4,420.2
0.7,0.5,533.9
0.7,0.6,648.5
0.9,0.1,98.5
0.9,0.3,314.3
0.9,0.4,419.3
