solar,wind,LDES discharge cap
0.1,0.1,0.0
0.1,0.3,0.0
0.1,0.4,0.0
0.1,0.5,0.0
0.1,0.6,0.0
0.1,0.7,0.0
0.1,0.9,0.0
0.3,0.1,0.0
0.3,0.3,0.0
0.3,0.4,0.0
0.3,0.5,0.0
0.3,0.6,0.0
0.3,0.7,0.0
0.3,0.9,0.0
0.4,0.1,0.0
0.4,0.3,0.0
0.4,0.4,1.0
0.4,0.5,5.0
0.4,0.6,8.7
0.4,0.7,10.1
0.4,0.9,12.0
0.5,0.1,3.9
0.5,0.3,11.8
0.5,0.4,14.8
0.5,0.5,17.5
0.5,0.6,20.2
0.5,0.7,20.5
0.6,0.1,15.3
0.6,0.3,21.4
0.6,0.4,24.9
0.6,0.5,28.4
0.6,0.6,28.9
0.6,0.7,28.9
0.7,0.1,26.7
0.7,0.3,35.8
0.7,0.4,38.2
0.7,0.5,37.4
0.7,0.6,35.0
0.9,0.1,44.2
0.9,0.3,46.0
0.9,0.4,45.7
