solar,wind,backup capacity factor low
0.1,0.1,5.29
0.1,0.3,10.27
0.1,0.4,10.65
0.1,0.5,11.28
0.1,0.6,11.4
0.1,0.7,11.21
0.1,0.9,10.97
0.3,0.1,11.45
0.3,0.3,10.58
0.3,0.4,10.83
0.3,0.5,11.02
0.3,0.6,11.04
0.3,0.7,11.02
0.3,0.9,11.14
0.4,0.1,11.51
0.4,0.3,10.63
0.4,0.4,10.87
0.4,0.5,10.94
0.4,0.6,11.06
0.4,0.7,11.0
0.4,0.9,11.12
0.5,0.1,11.46
0.5,0.3,10.58
0.5,0.4,10.82
0.5,0.5,10.88
0.5,0.6,11.06
0.5,0.7,11.05
0.6,0.1,11.53
0.6,0.3,10.64
0.6,0.4,10.93
0.6,0.5,10.98
0.6,0.6,11.13
0.6,0.7,11.13
0.7,0.1,11.7
0.7,0.3,10.76
0.7,0.4,11.03
0.7,0.5,11.09
0.7,0.6,11.17
0.9,0.1,11.89
0.9,0.3,10.89
0.9,0.4,11.09
