solar,wind,wind cap
0.1,0.1,99.0
0.1,0.3,316.7
0.1,0.4,430.5
0.1,0.5,549.8
0.1,0.6,664.8
0.1,0.7,770.3
0.1,0.9,980.9
0.3,0.1,98.6
0.3,0.3,317.5
0.3,0.4,425.3
0.3,0.5,536.1
0.3,0.6,650.6
0.3,0.7,758.3
0.3,0.9,962.6
0.4,0.1,98.5
0.4,0.3,321.9
0.4,0.4,426.1
0.4,0.5,535.6
0.4,0.6,649.2
0.4,0.7,755.7
0.4,0.9,960.8
0.5,0.1,98.3
0.5,0.3,322.3
0.5,0.4,426.2
0.5,0.5,535.4
0.5,0.6,648.8
0.5,0.7,755.0
0.6,0.1,98.3
0.6,0.3,322.7
0.6,0.4,426.3
0.6,0.5,535.2
0.6,0.6,648.0
0.6,0.7,754.6
0.7,0.1,98.3
0.7,0.3,323.0
0.7,0.4,425.9
0.7,0.5,534.8
0.7,0.6,645.0
0.9,0.1,98.3
0.9,0.3,323.1
0.9,0.4,424.4
