solar,wind,system efficiency
0.1,0.1,100.0
0.1,0.3,100.0
0.1,0.4,100.0
0.1,0.5,100.0
0.1,0.6,100.0
0.1,0.7,100.0
0.1,0.9,100.0
0.3,0.1,100.0
0.3,0.3,100.0
0.3,0.4,100.0
0.3,0.5,100.0
0.3,0.6,100.0
0.3,0.7,100.0
0.3,0.9,100.0
0.4,0.1,100.0
0.4,0.3,100.0
0.4,0.4,99.8
0.4,0.5,98.9
0.4,0.6,98.1
0.4,0.7,97.8
0.4,0.9,97.4
0.5,0.1,99.1
0.5,0.3,97.4
0.5,0.4,96.8
0.5,0.5,96.2
0.5,0.6,95.7
0.5,0.7,95.6
0.6,0.1,96.7
0.6,0.3,95.4
0.6,0.4,94.8
0.6,0.5,94.2
0.6,0.6,94.1
0.6,0.7,94.1
0.7,0.1,94.4
0.7,0.3,92.9
0.7,0.4,92.5
0.7,0.5,92.7
0.7,0.6,93.0
0.9,0.1,91.4
0.9,0.3,91.0
0.9,0.4,91.1
