solar,wind,backup capacity factor high
0.1,0.1,100.0
0.1,0.3,82.27
0.1,0.4,78.3
0.1,0.5,74.98
0.1,0.6,72.51
0.1,0.7,70.56
0.1,0.9,68.3
0.3,0.1,74.37
0.3,0.3,69.08
0.3,0.4,65.83
0.3,0.5,63.73
0.3,0.6,61.94
0.3,0.7,60.97
0.3,0.9,59.8
0.4,0.1,70.89
0.4,0.3,66.32
0.4,0.4,63.66
0.4,0.5,61.92
0.4,0.6,60.59
0.4,0.7,59.8
0.4,0.9,58.77
0.5,0.1,69.46
0.5,0.3,65.62
0.5,0.4,63.19
0.5,0.5,61.44
0.5,0.6,60.18
0.5,0.7,59.4
0.6,0.1,69.22
0.6,0.3,65.42
0.6,0.4,63.1
0.6,0.5,61.39
0.6,0.6,60.1
0.6,0.7,59.29
0.7,0.1,69.24
0.7,0.3,65.6
0.7,0.4,63.22
0.7,0.5,61.51
0.7,0.6,60.05
0.9,0.1,69.39
0.9,0.3,65.62
0.9,0.4,63.18
