solar,wind,wind curt
0.1,0.1,0.3
0.1,0.3,2.6
0.1,0.4,4.2
0.1,0.5,6.1
0.1,0.6,8.7
0.1,0.7,12.2
0.1,0.9,20.3
0.3,0.1,2.3
0.3,0.3,4.0
0.3,0.4,5.8
0.3,0.5,8.4
0.3,0.6,12.0
0.3,0.7,16.6
0.3,0.9,26.8
0.4,0.1,2.7
0.4,0.3,4.9
0.4,0.4,6.6
0.4,0.5,9.7
0.4,0.6,14.4
0.4,0.7,19.5
0.4,0.9,32.0
0.5,0.1,3.2
0.5,0.3,5.4
0.5,0.4,7.4
0.5,0.5,11.4
0.5,0.6,16.2
0.5,0.7,23.7
0.6,0.1,3.6
0.6,0.3,5.9
0.6,0.4,9.4
0.6,0.5,13.6
0.6,0.6,21.3
0.6,0.7,28.2
0.7,0.1,3.5
0.7,0.3,7.4
0.7,0.4,11.7
0.7,0.5,17.1
0.7,0.6,24.7
0.9,0.1,4.8
0.9,0.3,11.1
0.9,0.4,16.8
