solar,wind,wind capacity factor
0.1,0.1,22.5
0.1,0.3,24.3
0.1,0.4,23.7
0.1,0.5,23.3
0.1,0.6,23.0
0.1,0.7,23.0
0.1,0.9,21.4
0.3,0.1,22.2
0.3,0.3,23.5
0.3,0.4,23.5
0.3,0.5,23.3
0.3,0.6,22.2
0.3,0.7,21.7
0.3,0.9,20.2
0.4,0.1,22.0
0.4,0.3,23.1
0.4,0.4,23.2
0.4,0.5,22.1
0.4,0.6,22.0
0.4,0.7,20.7
0.4,0.9,19.8
0.5,0.1,22.2
0.5,0.3,22.4
0.5,0.4,22.8
0.5,0.5,22.0
0.5,0.6,21.0
0.5,0.7,20.2
0.6,0.1,22.2
0.6,0.3,22.8
0.6,0.4,22.0
0.6,0.5,20.9
0.6,0.6,19.6
0.6,0.7,19.7
0.7,0.1,21.8
0.7,0.3,21.9
0.7,0.4,21.4
0.7,0.5,20.6
0.7,0.6,19.7
0.9,0.1,22.1
0.9,0.3,20.7
0.9,0.4,19.9
