solar,wind,SDES absolute dispatch
0.1,0.1,81513481.8
0.1,0.3,70723236.9
0.1,0.4,69517504.8
0.1,0.5,75302163.1
0.1,0.6,78746286.0
0.1,0.7,80303346.1
0.1,0.9,96135401.9
0.3,0.1,306352024.3
0.3,0.3,335390558.7
0.3,0.4,328252193.8
0.3,0.5,328317231.0
0.3,0.6,324308915.3
0.3,0.7,315646705.0
0.3,0.9,247815183.0
0.4,0.1,447385259.3
0.4,0.3,489997381.4
0.4,0.4,489649610.3
0.4,0.5,476347314.3
0.4,0.6,457105446.2
0.4,0.7,415050139.3
0.4,0.9,313723926.4
0.5,0.1,578354829.7
0.5,0.3,630953635.6
0.5,0.4,634276975.9
0.5,0.5,600602868.8
0.5,0.6,539083244.8
0.5,0.7,469868933.9
0.6,0.1,711663357.0
0.6,0.3,761540845.6
0.6,0.4,751645499.3
0.6,0.5,683160071.4
0.6,0.6,583198541.8
0.6,0.7,514478417.0
0.7,0.1,831040534.0
0.7,0.3,882723801.3
0.7,0.4,829170839.8
0.7,0.5,710105550.0
0.7,0.6,618718635.6
0.9,0.1,1061596348.0
0.9,0.3,1010673394.0
0.9,0.4,882714296.1
