solar,wind,ES wind cap
0.1,0.1,44.4
0.1,0.3,76.4
0.1,0.4,77.2
0.1,0.5,83.0
0.1,0.6,87.2
0.1,0.7,88.1
0.1,0.9,89.3
0.3,0.1,37.0
0.3,0.3,90.8
0.3,0.4,99.0
0.3,0.5,100.8
0.3,0.6,94.4
0.3,0.7,90.2
0.3,0.9,72.5
0.4,0.1,34.6
0.4,0.3,106.1
0.4,0.4,122.9
0.4,0.5,121.9
0.4,0.6,115.3
0.4,0.7,111.6
0.4,0.9,61.3
0.5,0.1,33.7
0.5,0.3,110.2
0.5,0.4,138.7
0.5,0.5,150.3
0.5,0.6,138.2
0.5,0.7,112.9
0.6,0.1,30.2
0.6,0.3,112.9
0.6,0.4,150.7
0.6,0.5,162.8
0.6,0.6,139.2
0.6,0.7,103.7
0.7,0.1,19.2
0.7,0.3,114.2
0.7,0.4,149.7
0.7,0.5,135.4
0.7,0.6,94.0
0.9,0.1,14.5
0.9,0.3,119.1
0.9,0.4,74.6
