solar,wind,wind cap
0.1,0.1,121.7
0.1,0.3,354.3
0.1,0.4,460.1
0.1,0.5,569.1
0.1,0.6,673.0
0.1,0.7,787.2
0.1,0.9,1002.8
0.3,0.1,118.4
0.3,0.3,371.3
0.3,0.4,477.9
0.3,0.5,580.5
0.3,0.6,692.5
0.3,0.7,800.4
0.3,0.9,1009.8
0.4,0.1,117.2
0.4,0.3,375.6
0.4,0.4,491.0
0.4,0.5,588.0
0.4,0.6,695.2
0.4,0.7,800.0
0.4,0.9,972.1
0.5,0.1,116.9
0.5,0.3,379.8
0.5,0.4,496.7
0.5,0.5,604.4
0.5,0.6,697.0
0.5,0.7,795.0
0.6,0.1,117.1
0.6,0.3,379.5
0.6,0.4,505.6
0.6,0.5,609.5
0.6,0.6,697.3
0.6,0.7,777.4
0.7,0.1,114.0
0.7,0.3,381.8
0.7,0.4,508.3
0.7,0.5,596.5
0.7,0.6,673.4
0.9,0.1,113.5
0.9,0.3,383.3
0.9,0.4,461.6
