solar,wind,system efficiency
0.1,0.1,98.4
0.1,0.3,98.6
0.1,0.4,98.5
0.1,0.5,98.7
0.1,0.6,98.7
0.1,0.7,98.7
0.1,0.9,98.6
0.3,0.1,98.3
0.3,0.3,98.2
0.3,0.4,98.0
0.3,0.5,98.0
0.3,0.6,97.9
0.3,0.7,97.7
0.3,0.9,98.1
0.4,0.1,98.1
0.4,0.3,97.9
0.4,0.4,97.8
0.4,0.5,97.6
0.4,0.6,97.5
0.4,0.7,98.0
0.4,0.9,98.0
0.5,0.1,98.0
0.5,0.3,97.7
0.5,0.4,97.6
0.5,0.5,97.5
0.5,0.6,97.6
0.5,0.7,97.7
0.6,0.1,97.8
0.6,0.3,97.5
0.6,0.4,97.2
0.6,0.5,97.4
0.6,0.6,97.5
0.6,0.7,97.5
0.7,0.1,97.7
0.7,0.3,97.2
0.7,0.4,97.3
0.7,0.5,97.3
0.7,0.6,97.5
0.9,0.1,97.1
0.9,0.3,97.2
0.9,0.4,97.0
