solar,wind,SDES discharge cap
0.1,0.1,149.1
0.1,0.3,151.7
0.1,0.4,159.5
0.1,0.5,179.0
0.1,0.6,192.9
0.1,0.7,197.6
0.1,0.9,242.9
0.3,0.1,378.1
0.3,0.3,417.6
0.3,0.4,412.9
0.3,0.5,412.9
0.3,0.6,414.4
0.3,0.7,416.7
0.3,0.9,415.3
0.4,0.1,519.9
0.4,0.3,563.4
0.4,0.4,568.4
0.4,0.5,562.7
0.4,0.6,564.6
0.4,0.7,568.2
0.4,0.9,473.8
0.5,0.1,642.1
0.5,0.3,704.1
0.5,0.4,707.1
0.5,0.5,706.1
0.5,0.6,696.3
0.5,0.7,629.4
0.6,0.1,777.5
0.6,0.3,830.2
0.6,0.4,844.0
0.6,0.5,832.9
0.6,0.6,721.1
0.6,0.7,637.8
0.7,0.1,901.4
0.7,0.3,965.1
0.7,0.4,955.3
0.7,0.5,848.7
0.7,0.6,733.5
0.9,0.1,1157.7
0.9,0.3,1163.9
0.9,0.4,990.5
