solar,wind,system cost
0.1,0.1,320.0
0.1,0.3,300.2
0.1,0.4,294.7
0.1,0.5,291.9
0.1,0.6,291.4
0.1,0.7,293.0
0.1,0.9,301.0
0.3,0.1,329.1
0.3,0.3,308.8
0.3,0.4,303.1
0.3,0.5,300.0
0.3,0.6,299.3
0.3,0.7,300.6
0.3,0.9,308.1
0.4,0.1,338.1
0.4,0.3,318.1
0.4,0.4,312.5
0.4,0.5,309.4
0.4,0.6,308.7
0.4,0.7,310.0
0.4,0.9,317.5
0.5,0.1,347.8
0.5,0.3,327.9
0.5,0.4,322.3
0.5,0.5,319.3
0.5,0.6,318.6
0.5,0.7,320.0
0.6,0.1,357.7
0.6,0.3,338.0
0.6,0.4,332.4
0.6,0.5,329.4
0.6,0.6,328.6
0.6,0.7,330.0
0.7,0.1,367.8
0.7,0.3,348.1
0.7,0.4,342.4
0.7,0.5,339.5
0.7,0.6,338.7
0.9,0.1,388.0
0.9,0.3,368.3
0.9,0.4,362.8
