solar,wind,ES wind cap
0.1,0.1,13.8
0.1,0.3,30.0
0.1,0.4,29.3
0.1,0.5,29.2
0.1,0.6,37.3
0.1,0.7,47.1
0.1,0.9,55.9
0.3,0.1,8.5
0.3,0.3,27.8
0.3,0.4,27.5
0.3,0.5,27.2
0.3,0.6,34.8
0.3,0.7,40.7
0.3,0.9,61.4
0.4,0.1,5.7
0.4,0.3,26.1
0.4,0.4,25.7
0.4,0.5,26.5
0.4,0.6,34.9
0.4,0.7,40.9
0.4,0.9,63.1
0.5,0.1,3.7
0.5,0.3,26.2
0.5,0.4,28.0
0.5,0.5,28.7
0.5,0.6,35.3
0.5,0.7,41.0
0.6,0.1,2.3
0.6,0.3,26.2
0.6,0.4,29.7
0.6,0.5,28.7
0.6,0.6,35.7
0.6,0.7,41.5
0.7,0.1,1.8
0.7,0.3,26.2
0.7,0.4,29.7
0.7,0.5,28.7
0.7,0.6,36.1
0.9,0.1,1.7
0.9,0.3,26.2
0.9,0.4,25.2
