solar,wind,VRE curt
0.1,0.1,0.3
0.1,0.3,1.9
0.1,0.4,3.7
0.1,0.5,7.5
0.1,0.6,12.6
0.1,0.7,17.3
0.1,0.9,26.1
0.3,0.1,13.2
0.3,0.3,11.9
0.3,0.4,13.4
0.3,0.5,16.5
0.3,0.6,20.3
0.3,0.7,24.2
0.3,0.9,30.7
0.4,0.1,24.2
0.4,0.3,20.8
0.4,0.4,21.7
0.4,0.5,24.3
0.4,0.6,27.5
0.4,0.7,31.1
0.4,0.9,36.9
0.5,0.1,33.1
0.5,0.3,27.7
0.5,0.4,27.9
0.5,0.5,30.0
0.5,0.6,32.9
0.5,0.7,36.2
0.6,0.1,39.9
0.6,0.3,32.5
0.6,0.4,32.2
0.6,0.5,33.9
0.6,0.6,36.6
0.6,0.7,39.8
0.7,0.1,44.9
0.7,0.3,36.1
0.7,0.4,35.4
0.7,0.5,36.8
0.7,0.6,39.4
0.9,0.1,51.8
0.9,0.3,41.1
0.9,0.4,39.8
